"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","34,950.0","34,900.0","35,200.0","34,750.0","1.19M","0.29%"
"05/05/2025","34,850.0","34,650.0","34,850.0","34,300.0","1.83M","0.87%"
"29/04/2025","34,550.0","34,600.0","34,750.0","34,350.0","2.44M","0.00%"
"28/04/2025","34,550.0","35,300.0","35,300.0","34,400.0","3.32M","-1.29%"
"25/04/2025","35,000.0","35,300.0","35,400.0","35,000.0","2.68M","-1.27%"
"24/04/2025","35,450.0","35,350.0","35,450.0","34,900.0","2.03M","0.28%"
"23/04/2025","35,350.0","35,750.0","35,750.0","35,000.0","1.85M","0.71%"
"22/04/2025","35,100.0","35,150.0","35,200.0","32,800.0","3.60M","-0.43%"
"21/04/2025","35,250.0","35,950.0","36,000.0","35,100.0","2.11M","-1.95%"
"18/04/2025","35,950.0","36,200.0","36,250.0","35,850.0","3.48M","0.28%"
"17/04/2025","35,850.0","35,200.0","35,850.0","34,950.0","3.13M","-0.42%"
"16/04/2025","36,000.0","36,100.0","36,400.0","35,700.0","2.91M","-1.37%"
"15/04/2025","36,500.0","36,600.0","36,750.0","36,000.0","3.00M","-1.35%"
"14/04/2025","37,000.0","37,000.0","37,000.0","36,000.0","3.55M","0.68%"
"11/04/2025","36,750.0","36,900.0","36,900.0","35,550.0","6.95M","5.91%"
"10/04/2025","34,700.0","34,700.0","34,700.0","34,700.0","635.80K","6.93%"
"09/04/2025","32,450.0","31,200.0","34,500.0","31,200.0","6.52M","-3.13%"
"08/04/2025","33,500.0","35,000.0","35,500.0","33,500.0","4.71M","-6.94%"
"04/04/2025","36,000.0","33,550.0","36,000.0","33,550.0","6.88M","0.00%"
"03/04/2025","36,000.0","37,000.0","37,900.0","36,000.0","7.52M","-6.98%"
"02/04/2025","38,700.0","39,250.0","39,250.0","38,700.0","3.03M","-0.77%"
"01/04/2025","39,000.0","38,900.0","39,000.0","38,700.0","1.37M","0.65%"
"31/03/2025","38,750.0","39,000.0","39,000.0","38,500.0","2.90M","-0.90%"
"28/03/2025","39,100.0","39,150.0","39,250.0","39,050.0","1.40M","0.00%"
"27/03/2025","39,100.0","39,650.0","39,650.0","39,100.0","1.86M","-1.14%"
"26/03/2025","39,550.0","39,600.0","39,850.0","39,400.0","2.60M","-0.38%"
"25/03/2025","39,700.0","39,200.0","39,700.0","39,200.0","2.94M","1.53%"
