"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","37,600.0","37,350.0","37,800.0","37,200.0","3.85M","0.67%"
"05/05/2025","37,350.0","37,300.0","37,500.0","37,050.0","3.62M","0.40%"
"29/04/2025","37,200.0","36,750.0","37,200.0","36,700.0","4.93M","0.95%"
"28/04/2025","36,850.0","37,250.0","37,250.0","36,700.0","5.11M","-0.81%"
"25/04/2025","37,150.0","37,200.0","37,500.0","37,050.0","6.47M","-0.67%"
"24/04/2025","37,400.0","37,450.0","37,450.0","36,850.0","6.79M","0.27%"
"23/04/2025","37,300.0","37,400.0","37,650.0","37,000.0","6.71M","0.54%"
"22/04/2025","37,100.0","36,900.0","37,150.0","34,650.0","15.06M","-0.40%"
"21/04/2025","37,250.0","37,550.0","37,850.0","36,700.0","10.03M","-0.53%"
"18/04/2025","37,450.0","37,850.0","38,050.0","37,450.0","8.51M","0.54%"
"17/04/2025","37,250.0","37,000.0","37,350.0","36,650.0","8.70M","0.13%"
"16/04/2025","37,200.0","37,750.0","38,100.0","37,200.0","6.58M","-1.46%"
"15/04/2025","37,750.0","37,800.0","38,000.0","37,200.0","10.25M","-1.44%"
"14/04/2025","38,300.0","38,600.0","38,600.0","37,850.0","9.75M","-0.26%"
"11/04/2025","38,400.0","37,000.0","38,500.0","36,550.0","20.25M","6.22%"
"10/04/2025","36,150.0","36,150.0","36,150.0","36,150.0","2.91M","6.95%"
"09/04/2025","33,800.0","33,800.0","37,000.0","33,800.0","17.51M","-6.11%"
"08/04/2025","36,000.0","36,100.0","38,200.0","36,000.0","18.69M","-6.98%"
"04/04/2025","38,700.0","36,350.0","38,700.0","36,350.0","17.69M","-0.90%"
"03/04/2025","39,050.0","40,700.0","40,700.0","39,050.0","19.84M","-6.91%"
"02/04/2025","41,950.0","41,950.0","42,300.0","41,700.0","5.58M","0.24%"
"01/04/2025","41,850.0","41,650.0","41,850.0","41,050.0","4.74M","0.97%"
"31/03/2025","41,450.0","41,200.0","41,450.0","40,900.0","4.62M","0.24%"
"28/03/2025","41,350.0","41,500.0","41,550.0","41,150.0","4.09M","-0.60%"
"27/03/2025","41,600.0","41,400.0","41,750.0","41,250.0","3.51M","-0.36%"
"26/03/2025","41,750.0","42,250.0","42,450.0","41,600.0","5.47M","-1.30%"
"25/03/2025","42,300.0","41,950.0","42,300.0","41,700.0","5.04M","1.20%"
"24/03/2025","41,800.0","41,400.0","41,800.0","41,100.0","6.85M","0.36%"
"21/03/2025","41,650.0","41,600.0","41,650.0","41,050.0","7.36M","0.12%"
"20/03/2025","41,600.0","41,550.0","41,800.0","41,000.0","8.81M","0.12%"
"19/03/2025","41,550.0","41,900.0","42,000.0","41,400.0","8.67M","-1.07%"
"18/03/2025","42,000.0","42,900.0","42,900.0","41,950.0","5.41M","-1.41%"
"17/03/2025","42,600.0","42,300.0","42,600.0","42,200.0","3.46M","0.71%"
"14/03/2025","42,300.0","42,050.0","42,300.0","41,800.0","7.79M","0.00%"
"13/03/2025","42,300.0","42,700.0","42,700.0","42,150.0","7.91M","-0.82%"
"12/03/2025","42,650.0","42,800.0","43,300.0","42,300.0","9.35M","0.12%"
"11/03/2025","42,600.0","42,000.0","42,600.0","41,800.0","6.94M","0.35%"
"10/03/2025","42,450.0","42,700.0","42,700.0","42,100.0","9.16M","0.12%"
