"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","26,900.0","26,500.0","27,200.0","26,400.0","11.05M","1.51%"
"05/05/2025","26,500.0","26,650.0","26,650.0","26,150.0","9.05M","0.76%"
"29/04/2025","26,300.0","26,000.0","26,600.0","26,000.0","18.13M","1.15%"
"28/04/2025","26,000.0","26,000.0","26,100.0","25,800.0","11.16M","0.19%"
"25/04/2025","25,950.0","25,950.0","26,050.0","25,400.0","19.49M","0.78%"
"24/04/2025","25,750.0","26,000.0","26,100.0","25,700.0","8.92M","-1.34%"
"23/04/2025","26,100.0","25,750.0","26,300.0","25,150.0","18.23M","3.78%"
"22/04/2025","25,150.0","25,250.0","25,650.0","23,950.0","29.52M","-2.33%"
"21/04/2025","25,750.0","26,000.0","26,300.0","25,600.0","12.19M","-0.96%"
"18/04/2025","26,000.0","26,500.0","26,500.0","26,000.0","16.89M","0.00%"
"17/04/2025","26,000.0","25,600.0","26,000.0","25,550.0","14.26M","0.78%"
"16/04/2025","25,800.0","26,150.0","26,450.0","25,750.0","18.15M","-0.77%"
"15/04/2025","26,000.0","26,050.0","26,350.0","25,800.0","21.18M","-2.07%"
"14/04/2025","26,550.0","26,600.0","26,700.0","26,100.0","19.91M","-0.19%"
"11/04/2025","26,600.0","26,500.0","26,600.0","25,600.0","47.94M","5.35%"
"10/04/2025","25,250.0","25,250.0","25,250.0","25,250.0","1.24M","6.99%"
"09/04/2025","23,600.0","22,300.0","24,900.0","22,300.0","40.79M","-1.46%"
"08/04/2025","23,950.0","25,000.0","25,000.0","23,950.0","33.47M","-6.81%"
"04/04/2025","25,700.0","24,150.0","25,750.0","24,150.0","56.80M","-0.96%"
"03/04/2025","25,950.0","26,950.0","27,200.0","25,950.0","58.89M","-6.99%"
"02/04/2025","27,900.0","28,000.0","28,150.0","27,850.0","6.67M","-0.18%"
"01/04/2025","27,950.0","27,500.0","28,000.0","27,400.0","9.05M","1.64%"
"31/03/2025","27,500.0","27,400.0","27,500.0","27,200.0","12.98M","-0.18%"
"28/03/2025","27,550.0","27,750.0","27,800.0","27,450.0","12.35M","-0.72%"
"27/03/2025","27,750.0","28,000.0","28,150.0","27,750.0","7.52M","-0.89%"
"26/03/2025","28,000.0","27,900.0","28,500.0","27,800.0","24.09M","0.36%"
"25/03/2025","27,900.0","28,100.0","28,200.0","27,850.0","8.13M","-0.36%"
"24/03/2025","28,000.0","27,350.0","28,200.0","27,200.0","21.08M","2.38%"
"21/03/2025","27,350.0","27,350.0","27,550.0","27,300.0","7.45M","-0.36%"
"20/03/2025","27,450.0","27,500.0","27,550.0","27,100.0","14.43M","0.73%"
"19/03/2025","27,250.0","27,300.0","27,350.0","27,150.0","12.08M","-0.55%"
