"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/05/2025","57,600","57,300","58,000","57,100","1.49M","0.88%"
"05/05/2025","57,100","57,500","58,000","57,000","2.10M","-0.35%"
"29/04/2025","57,300","57,700","58,500","57,300","2.43M","-0.35%"
"28/04/2025","57,500","57,700","58,300","57,500","1.65M","0.00%"
"25/04/2025","57,500","58,200","59,000","57,500","3.68M","-1.20%"
"24/04/2025","58,200","58,200","58,600","58,000","1.86M","0.34%"
"23/04/2025","58,000","59,400","59,400","58,000","1.93M","-0.85%"
"22/04/2025","58,500","58,100","58,800","54,700","3.85M","0.52%"
"21/04/2025","58,200","58,500","58,900","58,100","1.29M","0.17%"
"18/04/2025","58,100","58,700","59,600","58,100","2.17M","0.00%"
"17/04/2025","58,100","59,300","59,300","58,100","3.15M","-2.02%"
"16/04/2025","59,300","59,700","60,300","59,000","2.63M","-1.17%"
"15/04/2025","60,000","59,100","60,900","58,300","5.63M","1.18%"
"14/04/2025","59,300","60,000","60,000","58,700","3.62M","-0.84%"
"11/04/2025","59,800","59,800","59,900","58,000","8.06M","6.60%"
"10/04/2025","56,100","56,100","56,100","56,100","174.40K","6.86%"
"09/04/2025","52,500","52,000","59,700","52,000","9.00M","-5.91%"
"08/04/2025","55,800","59,800","59,800","55,800","7.18M","-7.00%"
"04/04/2025","60,000","56,700","60,000","56,200","11.89M","-0.50%"
"03/04/2025","60,300","64,000","64,400","60,300","9.81M","-6.94%"
"02/04/2025","64,800","65,000","66,000","64,600","2.33M","0.47%"
"01/04/2025","64,500","64,700","65,300","64,000","1.72M","0.78%"
"31/03/2025","64,000","64,700","65,200","64,000","1.77M","-1.23%"
"28/03/2025","64,800","65,500","65,700","64,800","1.65M","-1.07%"
"27/03/2025","65,500","65,800","65,900","65,500","901.50K","-0.46%"
"26/03/2025","65,800","66,400","66,600","65,800","1.51M","-0.60%"
"25/03/2025","66,200","66,500","66,600","66,200","2.03M","-0.45%"
"24/03/2025","66,500","66,300","66,500","65,500","1.98M","0.76%"
"21/03/2025","66,000","67,000","67,000","66,000","1.70M","-1.20%"
"20/03/2025","66,800","66,500","67,000","66,200","1.69M","0.45%"
"19/03/2025","66,500","67,200","67,200","66,500","3.67M","-0.45%"
"18/03/2025","66,800","67,800","67,800","66,800","3.66M","-0.74%"
"17/03/2025","67,300","66,000","67,300","66,000","4.94M","1.97%"
"14/03/2025","66,000","65,400","66,800","65,400","4.92M","0.76%"
"13/03/2025","65,500","67,200","67,200","65,200","4.50M","-1.80%"
"12/03/2025","66,700","66,000","68,600","65,600","7.56M","3.01%"
"11/03/2025","64,749","64,214","64,749","63,946","5.44M","0.00%"
"10/03/2025","64,749","64,482","65,150","64,281","6.62M","1.79%"
"07/03/2025","63,612","62,609","63,746","62,542","5.98M","1.71%"
"06/03/2025","62,542","62,542","63,010","62,341","3.52M","0.54%"
"05/03/2025","62,207","62,207","62,742","62,207","2.72M","-33.11%"
"04/03/2025","93,000","93,200","93,400","92,700","2.50M","-0.32%"
"03/03/2025","93,300","93,500","93,500","93,000","1.25M","0.00%"
"28/02/2025","93,300","94,200","94,200","93,300","2.07M","-0.74%"
"27/02/2025","94,000","94,900","95,400","94,000","5.03M","1.84%"
"26/02/2025","92,300","92,600","92,900","92,200","769.20K","-0.32%"
"25/02/2025","92,600","93,500","93,600","92,500","1.93M","-0.96%"
"24/02/2025","93,500","93,300","93,500","92,700","1.96M","0.43%"
"21/02/2025","93,100","92,100","93,100","92,100","2.51M","1.53%"
"20/02/2025","91,700","92,200","92,300","91,700","1.64M","0.00%"
"19/02/2025","91,700","91,600","91,700","91,300","1.51M","0.11%"
"18/02/2025","91,600","91,600","92,000","91,400","1.07M","0.00%"
"17/02/2025","91,600","91,500","92,000","91,500","787.10K","0.00%"
"14/02/2025","91,600","92,200","92,200","91,500","947.80K","0.00%"
"13/02/2025","91,600","91,900","91,900","91,400","862.30K","0.11%"
"12/02/2025","91,500","91,900","92,500","91,500","1.05M","-0.44%"
