"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/01/2015","4,269.8","4,302.6","4,302.6","4,269.8","931.60K","-0.76%"
"06/01/2015","4,401.2","4,269.8","4,434.0","4,269.8","7.88M","3.08%"
"07/01/2015","4,434.0","4,434.0","4,532.5","4,401.2","6.15M","0.75%"
"08/01/2015","4,466.8","4,434.0","4,532.5","4,434.0","2.35M","0.74%"
"09/01/2015","4,696.8","4,466.8","4,729.6","4,466.8","18.40M","5.15%"
"12/01/2015","4,663.9","4,762.4","4,828.1","4,663.9","17.76M","-0.70%"
"13/01/2015","4,762.4","4,631.1","4,795.3","4,631.1","13.15M","2.11%"
"14/01/2015","4,696.8","4,729.6","4,795.3","4,631.1","8.51M","-1.38%"
"15/01/2015","4,696.8","4,696.8","4,795.3","4,663.9","12.33M","0.00%"
"16/01/2015","4,598.2","4,663.9","4,696.8","4,598.2","7.86M","-2.10%"
"19/01/2015","4,598.2","4,696.8","4,729.6","4,565.4","7.80M","0.00%"
"20/01/2015","4,631.1","4,598.2","4,696.8","4,598.2","6.21M","0.72%"
"21/01/2015","4,565.4","4,663.9","4,663.9","4,565.4","5.00M","-1.42%"
"22/01/2015","4,729.6","4,565.4","4,762.4","4,532.5","16.55M","3.60%"
"23/01/2015","4,795.3","4,795.3","4,893.8","4,762.4","20.94M","1.39%"
"26/01/2015","4,795.3","4,828.1","4,861.0","4,762.4","4.52M","0.00%"
"27/01/2015","4,696.8","4,762.4","4,828.1","4,631.1","15.48M","-2.05%"
"28/01/2015","4,893.8","4,663.9","4,959.5","4,631.1","23.55M","4.19%"
"29/01/2015","4,861.0","4,893.8","4,926.7","4,762.4","14.67M","-0.67%"
"30/01/2015","4,663.9","4,795.3","4,828.1","4,631.1","10.05M","-4.05%"
"02/02/2015","4,598.2","4,663.9","4,696.8","4,598.2","7.79M","-1.41%"
"03/02/2015","4,368.3","4,598.2","4,631.1","4,368.3","13.18M","-5.00%"
"04/02/2015","4,434.0","4,368.3","4,466.8","4,302.6","10.41M","1.50%"
"05/02/2015","4,466.8","4,434.0","4,499.7","4,434.0","2.87M","0.74%"
"06/02/2015","4,532.5","4,466.8","4,532.5","4,434.0","3.35M","1.47%"
"09/02/2015","4,565.4","4,532.5","4,598.2","4,499.7","5.78M","0.73%"
"10/02/2015","4,598.2","4,598.2","4,663.9","4,565.4","4.63M","0.72%"
"11/02/2015","4,631.1","4,598.2","4,631.1","4,598.2","2.24M","0.72%"
"12/02/2015","4,598.2","4,631.1","4,631.1","4,565.4","3.22M","-0.71%"
"13/02/2015","4,565.4","4,631.1","4,663.9","4,565.4","2.95M","-0.71%"
"24/02/2015","4,663.9","4,598.2","4,696.8","4,598.2","3.75M","2.16%"
"25/02/2015","4,631.1","4,729.6","4,762.4","4,631.1","7.36M","-0.70%"
"26/02/2015","4,696.8","4,663.9","4,696.8","4,631.1","3.87M","1.42%"
"27/02/2015","4,631.1","4,696.8","4,696.8","4,598.2","2.43M","-1.40%"
"02/03/2015","4,598.2","4,598.2","4,663.9","4,565.4","3.84M","-0.71%"
"03/03/2015","4,631.1","4,598.2","4,663.9","4,598.2","3.52M","0.72%"
"04/03/2015","4,631.1","4,631.1","4,631.1","4,565.4","3.19M","0.00%"
"05/03/2015","4,565.4","4,598.2","4,631.1","4,565.4","4.19M","-1.42%"
"06/03/2015","4,598.2","4,598.2","4,631.1","4,565.4","3.20M","0.72%"
"09/03/2015","4,565.4","4,598.2","4,631.1","4,565.4","4.21M","-0.71%"
"10/03/2015","4,565.4","4,565.4","4,598.2","4,565.4","2.30M","0.00%"
"11/03/2015","4,565.4","4,565.4","4,598.2","4,532.5","2.27M","0.00%"
"12/03/2015","4,565.4","4,565.4","4,598.2","4,532.5","3.60M","0.00%"
"13/03/2015","4,565.4","4,565.4","4,631.1","4,565.4","1.95M","0.00%"
"16/03/2015","4,532.5","4,565.4","4,565.4","4,532.5","2.66M","-0.72%"
"17/03/2015","4,532.5","4,532.5","4,565.4","4,499.7","2.65M","0.00%"
"18/03/2015","4,499.7","4,532.5","4,532.5","4,466.8","3.18M","-0.72%"
"19/03/2015","4,466.8","4,499.7","4,532.5","4,466.8","1.17M","-0.73%"
"20/03/2015","4,499.7","4,466.8","4,532.5","4,466.8","1.83M","0.74%"
"23/03/2015","4,499.7","4,499.7","4,532.5","4,466.8","1.40M","0.00%"
"24/03/2015","4,466.8","4,466.8","4,499.7","4,466.8","3.14M","-0.73%"
"25/03/2015","4,466.8","4,466.8","4,532.5","4,466.8","3.33M","0.00%"
"26/03/2015","4,499.7","4,466.8","4,565.4","4,466.8","1.10M","0.74%"
"27/03/2015","4,499.7","4,499.7","4,532.5","4,499.7","2.70M","0.00%"
"30/03/2015","4,466.8","4,532.5","4,532.5","4,466.8","960.45K","-0.73%"
"31/03/2015","4,499.7","4,466.8","4,532.5","4,466.8","1.15M","0.74%"
"01/04/2015","4,434.0","4,499.7","4,499.7","4,434.0","2.48M","-1.46%"
"02/04/2015","4,466.8","4,466.8","4,466.8","4,401.2","2.56M","0.74%"
"03/04/2015","4,434.0","4,466.8","4,466.8","4,434.0","1.67M","-0.73%"
"06/04/2015","4,434.0","4,434.0","4,466.8","4,401.2","1.35M","0.00%"
"07/04/2015","4,466.8","4,434.0","4,499.7","4,401.2","2.67M","0.74%"
"08/04/2015","4,466.8","4,434.0","4,466.8","4,434.0","1.26M","0.00%"
"09/04/2015","4,499.7","4,466.8","4,532.5","4,434.0","1.67M","0.74%"
"10/04/2015","4,499.7","4,499.7","4,532.5","4,466.8","2.62M","0.00%"
